"File","Category","ActualAccess","IntendedRole","Gap","Evidence"
"account.php","App Entry/Utility","Public/Shared","Legacy/Dev","",""
"administrator\admin_guard.php","Admin Module","System Admin","System Admin","","guardRole([1])"
"administrator\audit_logs.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\audit_logs-actions.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\dashboard.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\departments.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\ics.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\ics_items.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\ics-actions.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\index.php","Admin Module","Authenticated users","System Admin","","role router redirect"
"administrator\inventory_balance.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\item-actions.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\items.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\par.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\par_items.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\par-actions.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\physical_inventory_items.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\physical_inventory_reports.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\physical_inventory-actions.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\physical_ppe_items.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\physical_ppe_reports.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\physical_ppe-actions.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\print\ics.php","Print/PDF","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\print\par.php","Print/PDF","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\print\ris.php","Print/PDF","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\print\rpci.php","Print/PDF","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\print\rsmi.php","Print/PDF","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\property_card_transactions.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\property_card-actions.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\property_cards.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\property_transfer-actions.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\property_transfers.php","Admin Module","System Admin only","Property Custodian","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\reorder_report.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\ris.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\ris_items.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\ris-actions.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\roles.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\sidebar.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\stock_inventory-actions.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supplier-actions.php","Admin Module","System Admin only","System Admin, Supply Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\suppliers.php","Admin Module","System Admin only","System Admin, Supply Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_issuance.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_issuance_items.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_issuance-actions.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_ledger.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_receive.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_receive_items.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\supply_receive-actions.php","Admin Module","System Admin only","Supply Officer, Inventory Officer","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\system_settings.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\system_settings-actions.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\unserviceable_items.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\unserviceable_reports.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\unserviceable-actions.php","Admin Module","System Admin only","Auditor","Admin-only enforcement blocks intended role module access.","admin_guard.php"
"administrator\user-actions.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"administrator\users.php","Admin Module","System Admin only","System Admin","","admin_guard.php"
"api.php","App Entry/Utility","Authenticated users","Legacy/Dev","","isLoggedIn() check"
"api\admin.php","API","System Admin only","System Admin","","if(!isAdmin()) unauthorized"
"auditor\dashboard.php","Role Dashboard","Auditor","Auditor","","guardRole([5])"
"core\auth_guard.php","Core","System Admin, Supply Officer","Shared backend/UI","","guardRole([1,2])"
"core\BaseModel.php","Core","Public/Shared","Shared backend/UI","",""
"core\config.php","Core","Public/Shared","Shared backend/UI","",""
"core\csrf.php","Core","Public/Shared","Shared backend/UI","",""
"core\helper.php","Core","Authenticated users","Shared backend/UI","","isLoggedIn() check"
"core\index.php","Core","Public/Shared","Shared backend/UI","",""
"core\Model.php","Core","Public/Shared","Shared backend/UI","",""
"core\pdf\TcpdfHelper.php","Core","Public/Shared","Shared backend/UI","",""
"employee\dashboard.php","Role Dashboard","Employee","Employee","","guardRole([6])"
"forgotpwd.php","App Entry/Utility","Public/Shared","Public (pre-auth)","",""
"index.php","App Entry/Utility","Authenticated users","All authenticated roles","","role router redirect"
"inventoryofficer\dashboard.php","Role Dashboard","Inventory Officer","Inventory Officer","","guardRole([3])"
"login.php","App Entry/Utility","Public/Shared","Public (pre-auth)","",""
"logout.php","App Entry/Utility","Authenticated users","All authenticated roles","","logout endpoint"
"partials\alert-scripts.php","View Partial","Public/Shared","Shared backend/UI","",""
"partials\head.php","View Partial","Public/Shared","Shared backend/UI","",""
"partials\preload.php","View Partial","Public/Shared","Shared backend/UI","",""
"partials\scripts.php","View Partial","Public/Shared","Shared backend/UI","",""
"profile.php","App Entry/Utility","Authenticated users","All authenticated roles","Profile page loads administrator/sidebar.php, so non-admin users are redirected by admin_guard.","isLoggedIn() check"
"profile-actions.php","App Entry/Utility","Authenticated users","All authenticated roles","","isLoggedIn() check"
"propertycustodian\dashboard.php","Role Dashboard","Property Custodian","Property Custodian","","guardRole([4])"
"register.php","App Entry/Utility","Public/Shared","Public (pre-auth)","",""
"repo\Account.model.php","Data Model","Public/Shared","Shared backend/UI","",""
"repo\AuditLog.model.php","Data Model","Public/Shared","Shared backend/UI","",""
